clip_id,tipo,gold,raw,corregido
1,delete,[student:,,
1,delete,],,
1,delete,l ,,
1,insert,," Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week, right? So, but before we begin, alright, how was your week so far? Because we are in the middle part of it, you know, we call it hump day. Yeah. Right? So, how was it? Quite good so far, and we have a small break tomorrow because it's a holiday in Madrid. So, I'm telling you that you will have some students cancelling your lessons for sure. True, true. Because I... Tomorrow. Tomorrow, exactly. I'm sorry, go ahead. Yeah, tomorrow. Yeah? Mm-hmm. Tell me, tell me. I'm sorry, go ahead, my piece. I was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I'll be having, I think, hold on, let me check. One, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two temporary classes. So, I don't think they would like to have the extension, right, of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday, right?","yway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students also take Friday as a holiday. And then, I'm"
1,insert,,"Not a... Not national, only in Madrid province. Not in Spain, not in Catalonia, for example, only Madrid. Exactly, right? Okay. Basically, when it's a local holiday, what do you guys love to do? Or is there any in particular that you, you know, you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. ",
1,replace,"ll right, okay","nd nothing, nothing really different from a daily routine",
1,replace,"ut anyway, ha","esides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing s",
1,replace,"py, happy Wednesday, my dear. It's another, you know, uh, class, all right, for the week, right? So, but before we begin, all right, how was your your your week so far? Because we are in the middle part of it, you know, we call it Hump Day. Yeah, yeah. Right? So how how is it? [student: Quite good so far and we have a small break tomorrow because it's a holiday in Madrid. Oh. So","ecial,",
1,replace,m telling you that you will,"d say. Mm-hmm. Mm-hmm. It's something that we, you know,",
1,replace,some students canceling your lessons for sure],to enjoy,
1,replace,"rue, true. [student: Uh","hat's it. Right? Mm-hmm. And again, it is a Thursday. All right? So, the next day, you have to go",
1,replace,"ecause] tomorrow [student: tomorrow,","ack to work. Yeah. Right? Since it's just a day. You have no time to... A local holiday. You have no time to completely disconnect and forget about everything in your life. Right. Right? It's just a 24-hour break. Right. Right. Right. For me, if the holiday is like this, like, oh, God, I still have one more, you know, day for me to finish the entire week. Yeah. I don't normally go on a trip. I don't make plans. All right? Because for me, it's just like an",
1,replace,actly].,"tra day off. All right? To, you know, to rest, to have a longer, you know, sleep. Right? To be a couch potato for the day. All right? Like, watch a movie, bake cookies, cake. Right? Or other. Pastries. Watch some Netflix. Exactly. Amazon Prime. Exactly. What else? Or, for example, like in my case, as much as possible,",
1,insert,," really love walking. All right? Brisk walking is one of my favorite activities every day. All right? So, if I just do like one hour per day, since it is my free day. All right? Because it",
1,replace,"m sorry, go ahead. Yeah.","s a holiday. What I do, at least two hours. All right? Or, for example, one hour. Do you do that by yourself or do you go with some people? With my boyfriend, by myself, or with my sisters. All right. Anybody who's available for the moment. Okay. For example, or you can say that one hour for brisk walking because this is your routine. Another hour could possibly go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to...",
2,replace,classes.," And now, yes, we can begin the lesson. Alright. This is it. Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week, right?","And now, yes, we can begin the lesson. Alright. Okay. But anyway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students also t"
2,insert,,", but before we begin, alright, how was your week so far? Because we are in the middle part of it, you know, we call it hump day. Yeah. Right? So, how was it? Quite good so far, and we have a small break tomorrow because it's a holiday in Madrid. So,"," Friday as a holiday. And then, I'm"
2,insert,,"'m telling you that you will have some students cancelling your lessons for sure. True, true. Because",
2,replace, don,"... Tomorrow. Tomorrow, exactly. I",
2,replace,t think they they would like to,"m sorry, go ahead. Yeah, tomorrow. Yeah? Mm-hmm. Tell me, tell me. I'm sorry, go ahead, my piece. I was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I'll be",
2,insert,,"ing, I think, hold on, let me check. One, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two temporary classes. So, I don't think they would like to hav",
2,insert,,", of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday, right",
2,delete," of uh of the long weekend because definitely it's it's back to, you know, back to a normal routine because tomorrow it's going to be a local holiday, right? [student:",,
2,replace,", not not national",". Not a... Not national,",
2,delete,]. Mhm,,
2,insert,,do ,
2,delete,to ,,
2,insert,," you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. And nothing, nothing really different from a daily routine. Besides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing special, I'd say. Mm-hmm. Mm-hmm. It's something that we, you know, have to enjoy. That's it. Right? Mm-hmm. And again, it is a Thursday. All right? So, the next day, you have to go back to work. Yeah. Right? Since it's just a day. You have no time to... A local holiday. You have no time to completely disconnect and forget about everything in your life. Right. Right? It's just a 24-hour break. Right. Right. Right. For me, if the holiday is like this, like, oh, God, I still have one more, you know, day for me to finish the entire week. Yeah. I don't normally go on a trip. I don't make plans. All right? Because for me, it's just like an extra day off. All right? To, you know, to rest, to have a longer, you know, sleep. Right? To be a couch potato for the day. All right? Like, watch a movie, bake cookies, cake. Right? Or other. Pastries. Watch some Netflix. Exactly. Amazon Prime. Exactly. What else? Or, for example, like in my case, as much as possible, I really love walking. All right? Brisk walking is one of my favorite activities every day. All right? So, if I just do like one hour per day, since it is my free day. All right? Because it's a holiday. What I do, at least two hours. All right? Or, for example, one hour. Do you do that by yourself or do you go with some people? With my boyfriend, by myself, or with my sisters. All right. Anybody who's available for the moment. Okay. For example, or you can say that one hour for brisk walking because this is your routine. Another hour could possibly go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to...",
3,replace,first you may," And now, yes, we can ","And now, yes, we can b"
3,replace, go on to a fancy,"gin the lesson. Alright. This is it. Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week, right? So,","in the lesson. Alright. Okay. But anyway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students also take "
3,replace,runch. [teacher:,"ut before we begin, alright, how was your week so far?","iday as a holiday. And then, I'm"
3,replace,runch,"ecause we are in the middle part of it, you know, we call it hump day",
3,replace,", exactly]. ",". Right? So, how was it? Quite good so far, and we h",
3,replace,"ocado, some avocado toast with with uh quality quality latte. Yeah. [teracher. Yeah, the latte right]. sounds uh like a a nice plan. And nothing, nothing really different from a daily routine",e a small,
3,replace,"esides not working at all, which is uh quite quite nice to have once in a while",reak tomorrow because it's a holiday in Madrid,
3,replace, so nothing nothing special,",",
3,replace,d say. [teacher:,"m telling you that you will have some students cancelling your lessons for sure. True, true. Because I... Tomorrow. Tomorrow, exactly. I'm sorry, go ahead. Yeah, tomorrow. Yeah?",
3,replace,hm,"m-hmm. Tell me, tell me",
3,delete,t,,
3,replace,"s something that we, you know,","m sorry, go ahead, my piece. I was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I'll be",
3,insert,,"ing, I think, hold on, let me check. One, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two temporary classes. So, I don't think they would like to have the extension, right, of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday, right? Exactly. Not a... Not national, only in Madrid province. Not in Spain, not in Catalonia, for example, only Madrid. Exactly, right? Okay. Basically, when it's a local holiday, what do you guys love to do? Or is there any in particular that you, you know, you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. And nothing, nothing really different from a daily routine. Besides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing special, I'd say. Mm-hmm. Mm-hmm. It's something that we, you know, hav",
3,replace,h,m-hm,
3,replace,", a",. A,
3,insert,,",",
3,insert,,",",
3,replace,", r",. Yeah. R,
3,delete,],,
3,replace,o,ince,
3,replace,like y,a day. Y,
3,replace,y,time to... A local holiday. Y,
3,insert,," time to completely disconnect and forget about everything in your life. Right. Right? It's just a 24-hour break. Right. Right. Right. For me, if the holiday is like this, like, oh, God, I still have one more, you know, day for me to finish the entire week. Yeah. I don't normally go on a trip. I don't make plans. All right? Because for me, it's just like an extra day off. All right? To, you know, to rest, to have a longer, you know, sleep. Right? To be a couch potato for the day. All right? Like, watch a movie, bake cookies, cake. Right? Or other. Pastries. Watch some Netflix. Exactly. Amazon Prime. Exactly. What else? Or, for example, like in my case, as much as possible, I really love walking. All right? Brisk walking is one of my favorite activities every day. All right? So, if I just do like one hour per day, since it is my free day. All right? Because it's a holiday. What I do, at least two hours. All right? Or, for example, one hour. Do you do that by yourself or do you go with some people? With my boyfriend, by myself, or with my sisters. All right. Anybody who's available for the moment. Okay. For example, or you can say that one hour for brisk walking because this is your routine. Another hour could possibly go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to...",
4,replace,still," And now, yes, we can begin the lesson. Alright. This is it. Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week, right? So, but before we begin, alright, how was your week so far? Because we are in the middle part of it, you know, we call it hump day. Yeah. Right? So, how was it? Quite good so far, and we","And now, yes, we can begin the lesson. Alright. Okay. But anyway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students also take Friday as a holiday. And then, I'm"
4,replace,"one more, you know, day for me to finish the entire week","a small break tomorrow because it's a holiday in Madrid. So, I'm telling you that you will have some students cancelling your lessons for sure. True, true. Because I... Tomorrow. Tomorrow, exactly. I'm sorry, go ahead",
4,replace,". Uh,",", tomorrow. Yeah? Mm-hmm. Tell me, tell me.",
4,delete, don,,
4,replace,t normally go on a tri,"m sorry, go ahead, my ",
4,insert,,iece,
4,replace,don,"was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I",
4,replace,t make ,"ll be having, I think, hold on, let me check. One, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two tem",
4,replace,"lans, all","orary classes. So, I don't think they would like to have the extension, right, of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday,",
4,delete," Because for me, it's just like an extra day off, all right? To, you know, to rest, to have a longer, you know, sleep, all right? To be a couch potato for the day. All right, like watch movie, uh, bake cookies, um, cake, right? Or other pastries. [student: Watch on Netflix or]",,
4,replace,Amazon Prime,"Not a... Not national, only in Madrid province. Not in Spain, not in Catalonia, for example, only Madrid",
4,insert,,", right? Okay. Basically, when it's a local holiday, what do you guys love to do? Or is there any in particular that you, you know, you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. And nothing, nothing really different from a daily routine. Besides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing special, I'd say. Mm-hmm. Mm-hmm. It's something that we, you know, have to enjoy. That's it. Right? Mm-hmm. And again, it is a Thursday. All right? So, the next day, you have to go back to work. Yeah. Right? Since it's just a day. You have no time to... A local holiday. You have no time to completely disconnect and forget about everything in your life. Right. Right? It's just a 24-hour break. Right. Right. Right. For me, if the holiday is like this, like, oh, God, I still have one more, you know, day for me to finish the entire week. Yeah. I don't normally go on a trip. I don't make plans. All right? Because for me, it's just like an extra day off. All right? To, you know, to rest, to have a longer, you know, sleep. Right? To be a couch potato for the day. All right? Like, watch a movie, bake cookies, cake. Right? Or other. Pastries",
4,insert,,atch some Netflix. Exactly. Amazon Prime. Exactly. W,
4,replace,"Uh, or","Or,",
4,insert,,"as much as possible, ",
4,replace,as much as,"really love walking. All right? Brisk walking is one of my favorite activities every day. All right? So, if I just do like one hour",
4,replace,ossi,"er day, since it is my free day. All right? Because it's a holiday. What I do, at least two hours. All right? Or, for example, one hour. Do you do that ",
4,replace,"le, all right",y yourself or do you go with some people,
4,replace,I really lo,"With my boyfriend, by myself, or with my sisters. All right. Anybody who's a",
4,replace,e walking,"ailable for the moment. Okay. For example, or you can say that one hour for brisk walking because this is your routine",
4,replace,"ll right? Risk walking is one of my my favorite uh activity every day, all right? So, if I just",nother hour could possibly go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to...,
5,insert,, ,A
5,replace,ll,"nd now, yes, we can begin the lesson. Alright. This is it. Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week,","d now, yes, we can begin the lesson. Alright. Okay. But anyway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students"
5,replace,[student:,"So, but before we begin, alright, how was your week so far? Because we are in the middle part of it, you know, we call it hump day. Yeah. Right? So, how was it? Quite good so far, and we have a small break tomorrow because it's a holiday in Madrid. So, I'm telling you that you will have some students cancelling your lessons for sure. True, true. Because I... Tomorrow. Tomorrow, exactly. I'm sorry, go ahead. Yeah, tomorrow. Yeah? Mm-hmm. Tell me, tell me. I'm sorry, go ahead, my piece. I was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I'll be having, I think, hold on, let me check.","ke Friday as a holiday. And then, I'm"
5,replace,"r], for","ne, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two temporary classes. So, I don't think they would like to have the",
5,replace,am,"tension, right, of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday, right? Exactly. Not a... Not national, only in Madrid ",
5,replace,"le, one hour. [student:","rovince. Not in Spain, not in Catalonia, for example, only Madrid. Exactly, right? Okay. Basically, when it's a local holiday, what do you guys love to do? Or is there any in particular that you, you know, you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. And nothing, nothing really different from a daily routine. Besides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing special, I'd say. Mm-hmm. Mm-hmm. It's something that we, you know, have to enjoy. That's it. Right? Mm-hmm. And again, it is a Thursday. All right? So, the next day, you have to go back to work. Yeah. Right? Since it's just a day. You have no time to... A local holiday. You have no time to completely disconnect and forget about everything in your life. Right. Right? It's just a 24-hour break. Right. Right. Right. For me, if the holiday is like this, like, oh, God, I still have one more, you know, day for me to finish the entire week. Yeah. I don't normally go on a trip. I don't make plans. All right? Because for me, it's just like an extra day off. All right? To, you know, to rest, to have a longer, you know, sleep. Right? To be a couch potato for the day. All right? Like, watch a movie, bake cookies, cake. Right? Or other. Pastries. Watch some Netflix. Exactly. Amazon Prime. Exactly. What else? Or, for example, like in my case, as much as possible, I really love walking. All right? Brisk walking is one of my favorite activities every day. All right? So, if I just do like one hour per day, since it is my free day. All right? Because it's a holiday. What I do, at least two hours. All right? Or, for example, one hour.",
5,delete,],,
5,insert,,ll right. A,
5,replace,mmmm,go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to... Go to...,
